zip,county,cong_dist
03849,Carroll,NH-33
03850,Carroll,NH-33
03851,Strafford,NH-33
03852,Strafford,NH-33
03853,Carroll,NH-33
03854,Rockingham,NH-33
03855,Strafford,NH-33
03856,Rockingham,NH-33
03857,Rockingham,NH-33
03858,Rockingham,NH-33
03860,Carroll,NH-33
03861,Strafford,NH-33
03862,Rockingham,NH-33
03864,Carroll,NH-33
03865,Rockingham,NH-33
03867,Strafford,NH-33
03868,Strafford,NH-33
03869,Strafford,NH-33
03870,Rockingham,NH-33
03871,Rockingham,NH-33
03872,Carroll,NH-33
03873,Rockingham,NH-33
03874,Rockingham,NH-33
03875,Carroll,NH-33
03878,Strafford,NH-33
03882,Carroll,NH-33
03883,Carroll,NH-33
03884,Strafford,NH-33
03885,Rockingham,NH-33
03886,Carroll,NH-33
03887,Strafford,NH-33
03890,Carroll,NH-33
03894,Carroll,NH-33
03897,Carroll,
03901,York,ME-23
03902,York,ME-23
03903,York,ME-23
03904,York,ME-23
03905,York,ME-23
03906,York,ME-23
03907,York,ME-23
03908,York,ME-23
03909,York,ME-23
03910,York,ME-23
03911,York,ME-23
04001,York,ME-23
04002,York,ME-23
04003,Cumberland,ME-23
04005,York,ME-23
04006,York,ME-23
04008,Sagadahoc,ME-23
04009,Cumberland,ME-23
04010,Oxford,ME-23
04011,Cumberland,ME-23
04015,Cumberland,ME-23
04017,Cumberland,ME-23
04019,Cumberland,ME-23
04020,York,ME-23
04021,Cumberland,ME-23
04022,Oxford,ME-23
04024,Cumberland,ME-23
04027,York,ME-23
04029,Cumberland,ME-23
04030,York,ME-23
04032,Cumberland,ME-23
04037,Oxford,ME-23
04038,Cumberland,ME-23
04039,Cumberland,ME-23
04040,Cumberland,ME-23
04041,Oxford,ME-23
04042,York,ME-23
04043,York,ME-23
04046,York,ME-23
04047,York,ME-23
04048,York,ME-23
04049,York,ME-23
04050,Cumberland,ME-23
04051,Oxford,ME-23
04055,Cumberland,ME-23
04056,York,ME-23
04057,Cumberland,ME-23
04061,York,ME-23
04062,Cumberland,ME-23
04063,York,ME-23
04064,York,ME-23
04066,Cumberland,ME-23
04068,Oxford,ME-23
04069,Cumberland,ME-23
04071,Cumberland,ME-23
04072,York,ME-23
04073,York,ME-23
04074,Cumberland,ME-23
04076,York,ME-23
04079,Cumberland,ME-23
04083,York,ME-23
04084,Cumberland,ME-23
04085,Cumberland,ME-23
04086,Sagadahoc,ME-23
04087,York,ME-23
04088,Oxford,ME-23
04090,York,ME-23
04091,Cumberland,ME-23
04092,Cumberland,ME-23
04093,York,ME-23
04095,York,ME-23
04096,Cumberland,ME-23
04097,Cumberland,ME-23
04101,Cumberland,ME-23
04102,Cumberland,ME-23
04103,Cumberland,ME-23
04105,Cumberland,ME-23
04106,Cumberland,ME-23
04107,Cumberland,ME-23
04108,Cumberland,ME-23
04109,Cumberland,ME-23
04110,Cumberland,ME-23
04210,Androscoggin,ME-23
04216,Oxford,ME-23
04217,Oxford,ME-23
